place_name,latitude,longitude,address,rank
Park,35.2234265,126.8427115,"653-2 Ssangam-dong, Gwangsan-gu, Gwangju, South Korea",19
Tourist attraction,35.1483352,126.9188169,"245 Geumnam-ro, Dong-gu, Gwangju, South Korea",13
Tourist attraction,35.1985115,126.8351219,"South Korea,  KR",15
Park,35.1735856,126.8070856,"13-15 Sanjeonggongwon-ro 60beon-gil, Gwangsan-gu, Gwangju, South Korea",11
Tourist attraction,35.1674274,126.799829,"1008?? Sanjeong-dong, Gwangsan-gu, Gwangju, South Korea",10
Park,35.2237452,126.8445769,"South Korea, ",8
Tourist attraction,35.1428279,126.8754495,"South Korea, ??? 825-9?? 1? ?? ????? KR",8
Tourist attraction,35.2102336,126.8401288,"26 Sanwol-ro 21beon-gil, Gwangsan-gu, Gwangju, South Korea",4
Tourist attraction,35.2135664,126.842572,"155 Wolgye-ro, ??2? Gwangsan-gu, Gwangju, South Korea",2
Historical place,35.2200655,126.8236301,"689-3 Bia-dong, Gwangsan-gu, Gwangju, South Korea",34
Park,35.1831476,126.8367664,"1009 Singa-dong, Gwangsan-gu, Gwangju, South Korea",27
Park,35.1628813,126.8072871,"1580-5 Usan-dong, Gwangsan-gu, Gwangju, South Korea",29
Park,35.2146025,126.829809,"74-24 Wolgye-dong, Gwangsan-gu, Gwangju, South Korea",33
Park,35.1692894,126.8060537,"Gwangsan-gu, Gwangju, South Korea",28
